94.10 Landcode	94.11 Omschrijving	99.98 Datum ingang	99.99 Datum einde	Fictieve datum einde
8019	Turks- en Caicoseilanden			
7094	Turkseilanden		19910601	*
8028	Tuvalu	19751001		
7001	Uganda			
9070	Umm Al-Qaiwain		19910601	*
7038	Uruguay			
9081	Urundi		19910601	*
9090	Vanuatu	19800730		
5045	Vaticaanstad	19290211		
6010	Venezuela			
7054	Verenigde Arabische Emiraten	19711202		
9047	Verenigde Arabische Republiek	19580222	19610928	
6014	Verenigde Staten van Amerika			
8024	Vietnam			
8005	Wake			
5077	Wallis en Futuna			
9093	Westelijke Sahara	19760226		
6062	West-Samoa		19970704	
9015	Windwardeilanden		19910601	*
5050	Za\0xEFre	19711027	19970715	
5028	Zambia	19641024		
9051	Zanzibar		19640427	
8031	Zimbabwe	19790601		
5014	Zuid-Afrika			
9042	Zuid-Arabische Federatie	19590211	19671127	
7012	Zuid-Jemen	19671127	19900522	
6036	Zuid-Korea			
7072	Zuid-Rhodesi\0xEB		19651111	
5111	Zuid-Soedan	20110709		
5036	Zuid-Vietnam		19760702	
5078	Zuidwest-Afrika		19900321	
5039	Zweden			
